,City,Date,NO,NO2,NOx,CO,SO2,O3,CO2,CH4,N2O,Traffic_Flow,Industrial_Output,Temperature,Humidity,Wind_Speed,Rainfall,Population_Density,Agriculture_Emissions,Energy_Consumption,Waste_Production,Public_Transport_Usage,Actionable_Insights,Recommendations
41,Ahmedabad,2015-02-12,14.19,30.1,44.21,14.19,65.91,31.88,2.602,8.97,3.25,3112.0,108.7200514,17.31428603,54.11194762,10.71570199,13.08623317,1223.0,49.51769101112702,6.344930366003787,22.330937771404223,93.04999570557894,Implement stricter emission controls. | Consider stricter industrial emission regulations.,Maintain current emission levels.
42,Ahmedabad,2015-02-13,18.18,39.56,57.33,18.18,80.43,40.11,2.426,9.07,3.3,1863.0,147.6876721,39.76875677,82.60338418,2.940275444,19.65159802,2808.0,3.43885211152184,69.3087758769573,69.75925656888866,52.47080788985718,Implement stricter emission controls. | High humidity could trap pollutants; recommend monitoring air quality. | Consider stricter industrial emission regulations. | Promote energy-efficient practices.,Maintain current emission levels.
43,Ahmedabad,2015-02-14,37.49,47.58,77.85,37.49,99.72,36.47,1.382,9.0,3.21,1978.0,89.90762515,15.10297987,45.28939086,11.99788253,5.404968781,8658.0,90.9320402078782,6.180287007903473,77.772274700573,87.58845130934276,Implement stricter emission controls. | Reduce emissions from agriculture through better practices.,Maintain current emission levels.
44,Ahmedabad,2015-02-15,15.55,30.5,44.87,15.55,69.71,33.78,1.334,8.9,3.21,3056.0,143.6281839,19.54366326,44.8412206,2.795654853,0.6565063589,4649.0,25.87799816000169,73.8874227046373,82.73830151873094,9.654984203605588,Implement stricter emission controls. | Consider stricter industrial emission regulations. | Promote energy-efficient practices. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
45,Ahmedabad,2015-02-16,19.85,28.1,47.31,19.85,73.23,30.57,1.282,8.97,2.99,1275.0,61.41608234,35.56452917,34.65235658,13.87390566,11.87415021,3705.0,66.2522284353982,74.99627217200269,16.56423098675096,72.42610749346629,Implement stricter emission controls. | Reduce emissions from agriculture through better practices. | Promote energy-efficient practices.,Maintain current emission levels.
46,Ahmedabad,2015-02-17,15.96,21.04,35.67,15.96,54.7,36.2,1.231,9.15,3.07,4514.0,81.62333036,33.38695661,78.10615229,3.720362925,10.64155088,4612.0,31.171107608941096,65.10789757492526,53.66930697557386,24.53378549608112,Implement stricter emission controls. | Promote energy-efficient practices. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
47,Ahmedabad,2015-02-18,16.24,25.93,41.91,16.24,43.11,37.43,1.165,9.93,3.29,534.0,54.99032476,22.67405922,79.86836629,1.390453598,6.777165625,5519.0,52.00680211778108,73.22045446193496,8.367436213987013,52.44961598024162,Implement stricter emission controls. | Promote energy-efficient practices.,Maintain current emission levels.
48,Ahmedabad,2015-02-19,11.25,30.09,40.47,11.25,84.86,31.94,1.084,10.6,3.59,3652.0,65.29898731,23.47391426,51.53372331,10.7571353,8.419801258,4268.0,54.67102793432797,8.796578101305775,80.47923453135553,29.29210703540758,Implement stricter emission controls. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
49,Ahmedabad,2015-02-20,33.84,36.14,68.85,33.84,101.53,40.98,1.029,11.1,3.88,2455.0,64.05478183,24.77154835,71.49061791,7.915567311,0.7144099117,2359.0,18.485445552552704,72.67805523552676,48.645153395839046,71.23333600020744,Implement stricter emission controls. | Promote energy-efficient practices.,Maintain current emission levels.
50,Ahmedabad,2015-02-21,61.95,46.25,106.92,61.95,84.87,33.55,0.81,11.87,4.15,2085.0,148.5430729,28.91118984,72.75177518,1.147768132,10.16946805,3806.0,96.95846277645586,13.668831972388295,15.848905892347776,40.08890527705263,Implement stricter emission controls. | Consider stricter industrial emission regulations. | Reduce emissions from agriculture through better practices.,Maintain current emission levels.
51,Ahmedabad,2015-02-22,45.45,48.21,92.32,45.45,62.96,34.77,0.768,10.59,3.62,4443.0,81.65023212,25.95579015,54.43492153,9.862145279,14.25336215,6911.0,77.51328233611146,33.950590727184384,71.86789456080636,46.21684924995937,Implement stricter emission controls. | Reduce emissions from agriculture through better practices.,Maintain current emission levels.
52,Ahmedabad,2015-02-23,77.7,55.07,131.32,77.7,89.07,37.3,0.812,9.36,3.22,3573.0,108.6702377,22.08679759,87.48781603,4.896740626,19.20015575,9615.0,93.9498941564189,94.27452535006329,33.11698487519779,24.53453731815292,Implement stricter emission controls. | High humidity could trap pollutants; recommend monitoring air quality. | Consider stricter industrial emission regulations. | Reduce emissions from agriculture through better practices. | Promote energy-efficient practices. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
53,Ahmedabad,2015-02-24,12.56,32.01,42.56,12.56,61.54,38.8,1.064,11.21,3.72,1521.0,64.5587748,25.74642203,73.77754343,12.11313075,6.015261645,1534.0,89.48273504276489,50.287547765914006,11.450660376010758,28.14580153063941,Implement stricter emission controls. | Reduce emissions from agriculture through better practices. | Promote energy-efficient practices. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
54,Ahmedabad,2015-02-25,2.23,10.45,10.39,2.23,32.76,67.25,1.205,11.56,3.92,3961.0,118.713482,35.25191428,60.11563937,6.968970127,6.31388434,8860.0,59.78999788110851,96.7426432083014,46.10738249936476,17.947569070933522,Implement stricter emission controls. | Consider stricter industrial emission regulations. | Promote energy-efficient practices. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
55,Ahmedabad,2015-03-01,3.58,16.81,20.92,3.58,28.44,30.48,0.908,11.47,3.82,661.0,55.78664679,23.9876359,39.39778308,1.555567909,16.51364696,6598.0,92.18742350231167,8.892245888673756,23.52465987097148,55.37985473681842,Reduce emissions from agriculture through better practices.,Maintain current emission levels.
56,Ahmedabad,2015-03-02,9.07,18.21,27.34,9.07,29.48,34.75,1.32,11.68,3.97,4797.0,143.9939188,23.24246689,68.81952339,14.99553932,13.24679793,4737.0,8.84925020519195,47.755659956318006,95.02218357374424,14.499695603144602,Consider stricter industrial emission regulations. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
57,Ahmedabad,2015-03-03,12.99,28.71,40.76,12.99,39.71,38.46,1.643,14.89,4.06,2481.0,130.4155324,34.21255061,47.82322428,3.866884529,19.04625893,5919.0,19.59828624191452,6.240232027687065,36.13616578067773,26.82026116723624,Implement stricter emission controls. | Consider stricter industrial emission regulations. | Encourage the use of public transportation to reduce emissions.,Maintain current emission levels.
58,Ahmedabad,2015-03-04,18.21,29.38,47.01,18.21,62.75,46.79,2.268,18.1,4.25,1495.0,60.51335096,25.07851809,44.89870061,13.97492072,16.48344762,5870.0,4.522728891053807,63.02102623992848,57.24529051465,53.04613546480865,Implement stricter emission controls. | Promote energy-efficient practices.,Maintain current emission levels.
